episode,reward,rolling_reward_50
97,-259.9311752627574,-260.50078385505145
98,-343.299595265222,-258.808220379274
99,-324.53662908935064,-255.62209621402147
100,-168.2309390885847,-253.30714541170937
101,-240.28593318285644,-253.9089989258421
102,22.264955524720023,-248.48965946975258
103,-200.11896209985224,-250.78393423936006
104,-350.47979096086743,-251.92910216751
105,-265.0913942567055,-251.02919720030974
106,-387.58588355373274,-253.52579352662306
107,-225.76567466638215,-254.262155552371
108,-277.08621751647286,-258.5747417743577
109,-231.8172554166903,-260.2180650451243
110,-323.34810812825947,-261.18786537348745
111,-285.15992311517624,-264.27453949987233
112,-354.8214313295692,-263.36031185381734
113,-233.10973584872198,-264.7195100314947
114,-336.91613645341135,-268.97577291145814
115,-292.006064714765,-264.8863207040074
116,2.546366925909595,-262.5579978580239
117,-248.50754479775202,-264.05958387578687
118,-311.77927933082054,-266.4531530565288
119,-281.08381074109,-266.4015480629246
120,-326.7823050379937,-270.11978827569766
121,-331.77458565217125,-273.6617911620815
122,70.13338363445678,-267.3401484865624
123,-351.2722078713705,-271.8255631301603
124,-315.2948091156461,-275.02504125250084
125,-255.86906411502454,-275.1915235469161
126,-236.27454585836264,-269.68739158933363
127,-271.3364431352469,-273.32102078704617
128,-416.1600860915577,-273.1981696128303
129,-180.24701570250406,-270.91808799166796
130,-211.49481259380536,-267.89921445231215
131,27.30105479891529,-262.9689999024863
132,-357.7919232946266,-265.6012886204861
133,11.538649131516664,-259.6907845900543
134,-208.56246776945073,-258.45448879121165
135,-209.6059256842796,-258.8700128843174
136,-34.46772617136995,-252.63459089398629
137,-264.8678664699253,-253.84758287314685
138,-445.1066866823048,-257.51532962867077
139,-348.40087425299157,-256.3490308825664
140,-330.5151465964005,-257.5594615216122
141,-192.0240927685363,-255.887618400352
142,-65.69170431806288,-247.4867428464874
143,-233.37461535614364,-241.6153662605707
144,-342.2093101822737,-244.32639871815863
145,-210.1880268072332,-243.34953474529283
146,-29.206656596851474,-239.5139194585531
147,-116.51333931691664,-236.6455627396363
148,-152.8368500416263,-232.83630783516438
149,-41.66074788312257,-227.1787902110398
150,-60.96686391400202,-225.03350870754815
151,-92.26321629752893,-222.0730543698416
152,-196.8762509489228,-226.45587849931445
153,-61.337931200952866,-223.68025788133647
154,-18.147237075985345,-217.03360680363883
155,-136.91256379639563,-214.47003019443267
156,-217.3451623798335,-211.06521577095464
157,-145.84233311570296,-209.46674893994106
158,-346.19364781045664,-210.84889754582073
159,-25.09658363096483,-206.7144841101062
160,-176.77864789307887,-203.78309490540263
161,-240.95020960487798,-202.89890063519664
162,-475.3229248163316,-205.3089305049319
163,-467.7684066640177,-210.00210392123782
164,-375.1080316113913,-210.76594182439743
165,-341.2872093045232,-211.7515647161926
166,-447.570990637551,-220.75391186746182
167,-259.0444917209509,-220.9646508059258
168,-213.727980704718,-219.00362483340373
169,-354.7778704968973,-220.47750602851988
170,-504.68770242055814,-224.03561397617116
171,-138.6072289675788,-220.17226684247933
172,-157.9785980394369,-224.73450647595718
173,-267.7926788127273,-223.0649158947843
174,-6.591295500479674,-216.89084562248095
175,-159.7241287987215,-214.96794691615492
176,-474.9487539460252,-219.74143107790817
177,-422.97767823811483,-222.77425577996553
178,-448.6059312567626,-223.42317268326963
179,-284.65292670879,-225.51129090339532
180,-305.415685191307,-227.38970835534536
181,-294.0872347662767,-233.8174741466492
182,-293.7835031378675,-232.53730574351403
183,-170.4555942164162,-236.17719061047268
184,-330.1220775635535,-238.60838280635474
185,-356.3455670357728,-241.5431756333846
186,-390.6944975105991,-248.6677110601692
187,-319.6288632658855,-249.76293099608841
188,-269.9646342324123,-246.26008994709056
189,-824.1369744047737,-255.7748119501262
190,-433.09019999487225,-257.8263130180956
191,-633.2079918832399,-266.6499910003897
192,-736.7072878985807,-280.070302672
193,-1207.1731651709613,-299.5462736682964
194,-841.6621751082263,-309.5353309668155
195,-768.700529844054,-320.70558102755183
196,-651.301410273037,-333.1474761010756
197,-760.9125219719645,-346.0354597541766
198,-617.0632792178061,-355.3199883377002
199,-548.2203091399542,-365.4511795628368
200,-638.7682002795028,-377.0072062901468
201,-868.0938833809823,-392.52381963181585
202,-613.4803602863262,-400.8559018185639
203,-803.066717426581,-415.6904775430765
204,-884.5616059606649,-433.01876492077
205,-757.0851405407442,-445.422216455657
206,-690.8427404580478,-454.8921680172213
207,-1031.444484167102,-472.60421103824933
208,-524.522508652364,-476.17078825508753
209,-439.4866170518062,-484.4585889235043
210,-1078.1367861038937,-502.4857516877206
211,-780.8085691522349,-513.2829188786677
212,-582.0599963033692,-515.4176603084085
213,-601.9495774376671,-518.1012837238815
214,-726.0012333415058,-525.1191477584838
215,-630.9374040487627,-530.9121516533685
216,-901.7556246978543,-539.9958443345746
217,-623.7606007728134,-547.2901665156118
218,-492.5474737550043,-552.8665563766175
219,-462.86624489045744,-555.0283238644887
220,-339.8218342448615,-551.7310065009749
221,-673.2486572952187,-562.4238350675278
222,-578.0776121014188,-570.8258153487674
223,-474.67294254855113,-574.9634206234838
224,-625.7716383092477,-587.3470274796591
225,-609.6854528923882,-596.3462539615325
226,-747.4149975969499,-601.795578834551
227,-333.02154444701057,-599.996456158729
228,-751.8772559540521,-606.0618826526747
229,-353.0575474671821,-607.4299750678425
230,-633.6996102652944,-613.9956535693223
231,-492.5508065594816,-617.9649250051864
232,-258.74705489245065,-617.2641960402781
233,-694.3029896049914,-627.7411439480495
234,-436.8587809718372,-629.8758780162151
235,-550.3734454148544,-633.7564355837968
236,-467.37594581255513,-635.2900645498361
237,-436.08202774588295,-637.619127839436
238,-499.1323516412042,-642.2024821876117
239,-390.49800102745166,-633.5297027200652
240,-272.7480668390203,-630.3228600569482
241,-446.39360289237777,-626.586572277131
242,-1349.8057180222283,-638.848540879604
243,-798.6858057244009,-630.6787936906728
